,Title,Description,Price,Skills
0,LinkedIn Focused Data Extraction,Need a decently sized team of folks to help me get some public info from LinkedIn profiles. Must have experience with this in terms of rate limiting etc.,"£96
                                (Avg Bid)",Web Search
1,QuickBooks Data Entry and Reconciliation Expert,"I am looking for a QuickBooks Desktop 2023 specialist to assist me with data entry and reconciliation tasks for entries exceeding 100 in number. 

SKILLS AND EXPERIENCE:

- Proficiency in QuickBooks Desktop 2023 is non-negotiable. 
- Prior experience with large scale data entry and reconciliation tasks. 
- Familiarity with handling electronic records and financial institution statements is a must. 

TASKS:
- An accurate data entry of electronic records and financial institution statements into QuickBooks. 
- Ensuring proper reconciliation of these entries. 

Please highlight your relevant experience in your proposal. Proven track record in similar tasks will put you in a privileged position. I am aiming for a smooth, error-free process and your expertise can make that ...","£18 / hr
                                (Avg Bid)",MYOB
2,data automation in excel,"More details:

What specific tasks do you want to automate in Excel? Data entry, Data cleaning and formatting, Data analysis
How many Excel files do you need to automate? 1-5
What is the approximate size of each Excel file? Less than 1MB","£472
                                (Avg Bid)",Visual Basic for Apps
3,"Research the number of existing and under-construction properties in Dubai on selected government websites and online, and enter that data in a spreadsheet.","I made this instructional video explaining how to collect and enter data:


More details:

Which government websites would you like the research to be conducted on? 
Dubai Land Department website

What specific data points are you interested in for each property? 
Number of units in a community

How soon do you need your project completed? 
ASAP","£9 / hr
                                (Avg Bid)",Web Search
4,Comprehensive Data Entry & Text Management,"...provide data entry, copy pasting, excel work, typing, and processing of word documents. While the main focus is text data handling, a variety of other computer-related tasks may also be assigned. 

I Need:
- Data entry: Inputting text data into a preferred system
- Copy paste: Replicating and transferring data from various sources
- Excel: Managing data and performing calculations or analysis if needed
- Typing: Creating or editing text documents
- Word document: Crafting and managing Word files effectively
- Other: Additional tasks relating to computer skills

Ideal Candidate:
- Experienced in data handling tasks
- Proficient in using Microsoft Excel and Word 
- Strong typing skills

Freelancers should highlight their relevant past exper...","£290
                                (Avg Bid)",Word
5,Data Entry from Physical & Online Sources,"I am in need of a capable data entry freelancer who can extract data from both physical documents and online sources. 

Requirements:
- Extracting data primarily in the form of images or multimedia
- Ensuring accuracy and completeness of data entry
- Handling numerical data that is in Excel spreadsheets

Ideal skills for this project:
- Proficient in data entry from a variety of sources
- Experience with handling images or multimedia data
- Able to work with Excel spreadsheets and maintain data integrity 

This is a straightforward task which requires attention to detail and accuracy. The successful candidate will be able to work effectively and efficiently with a combination of physical and digital data sources.","£63
                                (Avg Bid)",Web Search
6,Weekend Tutoring Business Advertisement,"I run a tutoring business that caters to school-aged children and college students. The subjects we specialize in are Accountancy, Commerce, Economics, English and Tamil and Computer science. 

I'm looking for a freelancer who can help me advertise my business effectively, using both online methods and word-of-mouth referrals. 

Ideal Skills and Experience:
- Proven track record in creating successful online advertising campaigns
- Experience in implementing offline marketing strategies, particularly word-of-mouth referrals
- Familiarity with the education sector and the specific subjects we teach is a bonus

Please provide examples of previous work when submitting your bid. Thank you.","£78
                                (Avg Bid)",Sales
7,Comprehensive Data Analytics & Visualization,"I'm seeking a proficient data analyst to help with an upcoming project, primarily focusing on data cleansing, visualization and statistical analysis.

Tasks involved:
- Data cleansing on multiple datasets including customer data, sales data and social media data.
- Creating engaging visualizations to convey complex data in a simple format.
- Interpreting data through statistical analysis to extract valuable insights and trends.

The ideal candidate needs to be skilled and experienced with Excel, as it's the primary tool we'll be using for these tasks. A deep understanding of data cleansing procedures, visualization techniques and statistical analysis methods is critical. Demonstrated experience in handling a vari...","£9 / hr
                                (Avg Bid)",Statistics
8,Urgent Python Programmer for Data Analysis,"I'm seeking an experienced Python programmer to help me with data analysis about JT808. The work is urgent, and I need someone who can quickly get up to speed with my project and deliver results promptly.

Key requirements:
- Proficient in Python and JT808 decoding
- Experience in data analysis
- Ability to work quickly and efficiently

Your responsibilities will include:
- Data cleaning
- Running analysis
- Providing insights based on the analysis

I'm looking for a programmer who can dive in and start working immediately, so please only apply if you are available to start right away.","£138
                                (Avg Bid)",Python
9,General Purpose Psychological Self-Help Algorithm,"...systems analyst and I do not expect to work as one for the candidate. I can clearly explain what is required and have worked extensively on making as clear a flowchart as possible though it may require debugging in one spot.

A successful candidate ideally would possess:
- Significant experience in algorithmic programming
- Common sense, or lacking that a background in psychological/cognitive science or a similar field
- Ability to work efficiently and be able to deliver within one month
- Ability to communicate, understand requirements and be reasonably flexible. 

Attention to detail, dedication, and an understanding of how algorithms can be deployed for empathetic support mechanisms are also key.
This is a prototype for a webapp and smartphone iterations and must be delivered ...","£414
                                (Avg Bid)",PHP
